Study,Domain,Scenario,N_Monitors,Method,Bias,MSE,RMSE,MC_SD,Coverage,Runtime_ms
Replication,Epidemiology,A,82,Plug-in,0.0003,0.0137,0.117,0.2113,60.0,3.5
Replication,Epidemiology,A,82,RC-OOS,-0.0471,0.0117,0.1081,0.1952,80.0,21.5
Replication,Epidemiology,A,82,Exp.Simulation,-0.1908,0.0364,0.1908,0.2243,0.0,4.3
Replication,Epidemiology,A,82,Two-Stage Bayes,-0.1936,0.0375,0.1936,0.2313,0.0,5.4
Replication,Epidemiology,A,82,GPR,-0.0523,0.0027,0.0523,0.2563,100.0,979.5
Replication,Epidemiology,A,82,RF,-0.0724,0.017,0.1304,0.2264,100.0,2685.3
Replication,Epidemiology,A,82,GBR,-0.3087,0.0953,0.3087,0.206,100.0,291.6
Replication,Epidemiology,B,82,Plug-in,-0.0707,0.0177,0.133,0.2073,80.0,3.3
Replication,Epidemiology,B,82,RC-OOS,0.0697,0.0248,0.1573,0.2294,80.0,20.1
Replication,Epidemiology,B,82,Exp.Simulation,-0.4695,0.2204,0.4695,0.1861,0.0,4.0
Replication,Epidemiology,B,82,Two-Stage Bayes,-0.4774,0.2279,0.4774,0.1897,0.0,4.7
Replication,Epidemiology,B,82,GPR,-0.1826,0.0333,0.1826,0.2788,100.0,694.0
Replication,Epidemiology,B,82,RF,-0.1911,0.0365,0.1911,0.2316,100.0,1865.3
Replication,Epidemiology,B,82,GBR,-0.3089,0.1195,0.3456,0.3675,100.0,232.2
Replication,Epidemiology,C,82,Plug-in,-0.0478,0.0517,0.2273,0.2889,75.0,3.2
Replication,Epidemiology,C,82,RC-OOS,-0.0572,0.0817,0.2858,0.2847,95.0,17.5
Replication,Epidemiology,C,82,Exp.Simulation,-0.8527,0.7271,0.8527,0.0735,0.0,3.8
Replication,Epidemiology,C,82,Two-Stage Bayes,-0.8592,0.7383,0.8593,0.0763,0.0,4.8
Replication,Epidemiology,C,82,GPR,-0.8215,0.6757,0.822,0.2272,70.0,772.7
Replication,Epidemiology,C,82,RF,-0.1481,0.0876,0.296,0.3687,100.0,1905.3
Replication,Epidemiology,C,82,GBR,0.0089,0.097,0.3114,0.4393,95.0,228.3
Replication,Epidemiology,D,82,Plug-in,0.0259,0.0185,0.1362,0.1237,100.0,3.7
Replication,Epidemiology,D,82,RC-OOS,0.0241,0.0169,0.1299,0.1333,20.0,17.3
Replication,Epidemiology,D,82,Exp.Simulation,0.0141,0.0002,0.0156,0.0207,60.0,4.6
Replication,Epidemiology,D,82,Two-Stage Bayes,0.0021,0.0003,0.0161,0.017,100.0,4.7
Replication,Epidemiology,D,82,GPR,-0.0,0.0,0.005,0.0144,100.0,764.6
Replication,Epidemiology,D,82,RF,0.0244,0.0085,0.0921,0.141,100.0,1899.3
Replication,Epidemiology,D,82,GBR,0.0568,0.0152,0.1233,0.1458,100.0,229.0
Density,Epidemiology,C,80,Plug-in,-0.0966,0.0196,0.14,0.1963,91.7,3.1
Density,Epidemiology,C,80,RC-OOS,-0.1959,0.0384,0.1959,0.1914,83.3,16.3
Density,Epidemiology,C,80,Exp.Simulation,-0.809,0.6544,0.809,0.0681,0.0,4.2
Density,Epidemiology,C,80,Two-Stage Bayes,-0.8116,0.6586,0.8116,0.0686,0.0,4.6
Density,Epidemiology,C,80,GPR,-0.746,0.5573,0.7465,0.2634,83.3,793.3
Density,Epidemiology,C,80,RF,-0.2482,0.0623,0.2496,0.2043,100.0,1931.0
Density,Epidemiology,C,80,GBR,-0.2255,0.0658,0.2565,0.3423,100.0,228.7
Density,Epidemiology,C,60,Plug-in,0.1692,0.0353,0.1878,0.2212,83.3,2.3
Density,Epidemiology,C,60,RC-OOS,0.0572,0.0112,0.106,0.4018,100.0,10.9
Density,Epidemiology,C,60,Exp.Simulation,-0.8154,0.6649,0.8154,0.0723,0.0,3.0
Density,Epidemiology,C,60,Two-Stage Bayes,-0.8401,0.7058,0.8401,0.0751,0.0,3.8
Density,Epidemiology,C,60,GPR,-0.6745,0.4554,0.6748,0.1795,83.3,831.5
Density,Epidemiology,C,60,RF,-0.0854,0.0911,0.3018,0.3497,100.0,1914.9
Density,Epidemiology,C,60,GBR,0.0501,0.0531,0.2305,0.412,100.0,233.5
Density,Epidemiology,C,40,Plug-in,0.1075,0.0513,0.2265,0.3143,91.7,1.2
Density,Epidemiology,C,40,RC-OOS,-0.2916,0.0989,0.3144,0.3424,100.0,4.8
Density,Epidemiology,C,40,Exp.Simulation,-0.8782,0.7712,0.8782,0.0754,0.0,2.6
Density,Epidemiology,C,40,Two-Stage Bayes,-0.8937,0.799,0.8939,0.0823,0.0,3.3
Density,Epidemiology,C,40,GPR,-0.7201,0.528,0.7266,0.2922,66.7,979.2
Density,Epidemiology,C,40,RF,0.03,0.0541,0.2327,0.5663,83.3,2446.8
Density,Epidemiology,C,40,GBR,0.0936,0.1115,0.3339,0.6994,75.0,309.3
Density,Epidemiology,C,20,Plug-in,-0.0963,0.0201,0.1418,0.3566,75.0,1.3
Density,Epidemiology,C,20,RC-OOS,-0.6351,0.4037,0.6354,0.1927,83.3,4.6
Density,Epidemiology,C,20,Exp.Simulation,-0.9285,0.8621,0.9285,0.0496,0.0,2.5
Density,Epidemiology,C,20,Two-Stage Bayes,-0.9398,0.8832,0.9398,0.0385,0.0,4.1
Density,Epidemiology,C,20,GPR,-0.7723,0.5964,0.7723,0.3282,66.7,878.5
Density,Epidemiology,C,20,RF,-0.4008,0.2254,0.4748,0.5256,91.7,2403.0
Density,Epidemiology,C,20,GBR,-0.4543,0.2913,0.5397,0.5405,83.3,284.4
Density,Epidemiology,C,10,Plug-in,-0.3038,0.1762,0.4197,0.6867,83.3,1.0
Density,Epidemiology,C,10,RC-OOS,-0.9964,0.9927,0.9964,0.1622,50.0,2.6
Density,Epidemiology,C,10,Exp.Simulation,-0.9666,0.9343,0.9666,0.0372,0.0,1.7
Density,Epidemiology,C,10,Two-Stage Bayes,-0.968,0.9371,0.9681,0.0376,0.0,3.0
Density,Epidemiology,C,10,GPR,-1.0,1.0,1.0,0.3703,33.3,915.1
Density,Epidemiology,C,10,RF,-0.0918,0.2756,0.525,0.6023,91.7,2441.5
Density,Epidemiology,C,10,GBR,0.2483,0.3049,0.5522,0.7843,75.0,302.8
Modern,Epidemiology,C,40,Plug-in,0.2086,0.0529,0.2301,0.2815,93.3,1.8
Modern,Epidemiology,C,40,RC-OOS,-0.2636,0.0784,0.28,0.3206,100.0,4.8
Modern,Epidemiology,C,40,Exp.Simulation,-0.8833,0.7802,0.8833,0.0928,0.0,2.3
Modern,Epidemiology,C,40,Two-Stage Bayes,-0.8811,0.7764,0.8811,0.0893,0.0,3.3
Modern,Epidemiology,C,40,GPR,-0.6779,0.4595,0.6779,0.3096,73.3,883.0
Modern,Epidemiology,C,40,RF,0.0586,0.0416,0.204,0.5152,93.3,2187.2
Modern,Epidemiology,C,40,GBR,0.1769,0.0852,0.2919,0.6432,80.0,254.3
Agriculture,Agriculture,C,80,Plug-in,0.0004,0.0082,0.0907,0.1215,83.3,3.4
Agriculture,Agriculture,C,80,RC-OOS,-0.0726,0.0287,0.1695,0.2823,91.7,16.6
Agriculture,Agriculture,C,80,Exp.Simulation,-0.476,0.2265,0.476,0.0305,0.0,3.6
Agriculture,Agriculture,C,80,Two-Stage Bayes,-0.4616,0.2131,0.4616,0.0266,0.0,4.8
Agriculture,Agriculture,C,80,GPR,-0.2293,0.0526,0.2293,0.0985,100.0,623.4
Agriculture,Agriculture,C,80,RF,-0.1261,0.0181,0.1347,0.1797,100.0,1905.8
Agriculture,Agriculture,C,80,GBR,-0.0799,0.016,0.1265,0.2215,100.0,232.6
Agriculture,Agriculture,C,60,Plug-in,-0.0186,0.0037,0.0609,0.1073,91.7,2.7
Agriculture,Agriculture,C,60,RC-OOS,-0.102,0.0203,0.1425,0.1409,100.0,10.8
